epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,277.043,1.17438,0.81212,0.94118,0.02333,1,0.98625,0.55527,1.3528,2.52321,1.0424,0.000483242,0.000483242,0.000483242
63,282.586,1.27463,0.83162,0.92427,0.02333,1,0.995,0.57015,1.37239,2.4759,1.05004,0.000478888,0.000478888,0.000478888
64,287.192,1.26169,0.80463,0.93298,0.02333,1,0.995,0.57015,1.37239,2.4759,1.05004,0.000474138,0.000474138,0.000474138
65,291.567,1.18521,0.8138,0.95755,0.02333,1,0.995,0.57015,1.37239,2.4759,1.05004,0.000468992,0.000468992,0.000468992
66,296.212,1.19715,0.79331,0.94074,0.02333,1,0.995,0.60983,1.31899,2.40455,1.03615,0.00046345,0.00046345,0.00046345
67,301.179,1.21582,0.79222,0.92998,0.02333,1,0.995,0.60983,1.31899,2.40455,1.03615,0.000457512,0.000457512,0.000457512
68,306.543,1.1387,0.77029,0.94021,0.02333,1,0.995,0.60983,1.31899,2.40455,1.03615,0.000451178,0.000451178,0.000451178
69,312.748,1.01774,0.76353,0.93885,0.02333,1,0.995,0.58498,1.32009,2.34248,1.03844,0.000444448,0.000444448,0.000444448
70,317.516,1.23695,0.95446,0.91853,0.02333,1,0.995,0.58498,1.32009,2.34248,1.03844,0.000437322,0.000437322,0.000437322
71,321.537,1.11865,0.7892,0.94532,0.02333,1,0.995,0.58498,1.32009,2.34248,1.03844,0.0004298,0.0004298,0.0004298
72,325.662,1.24253,0.84388,0.93952,0.02333,1,0.995,0.59313,1.34468,2.30157,1.04777,0.000421882,0.000421882,0.000421882
73,329.733,1.04495,0.7481,0.93797,0.02333,1,0.995,0.59313,1.34468,2.30157,1.04777,0.000413568,0.000413568,0.000413568
74,333.374,1.15018,0.93618,1.0753,0.02333,1,0.995,0.59313,1.34468,2.30157,1.04777,0.000404858,0.000404858,0.000404858
75,337.153,1.2108,0.8132,0.92273,0.04334,1,0.995,0.55006,1.41536,2.25164,1.07761,0.000395752,0.000395752,0.000395752
76,340.769,0.99245,0.76501,0.94054,0.04334,1,0.995,0.55006,1.41536,2.25164,1.07761,0.00038625,0.00038625,0.00038625
77,345.26,1.00658,0.76621,0.92367,0.04334,1,0.995,0.55006,1.41536,2.25164,1.07761,0.000376352,0.000376352,0.000376352
78,348.916,1.13526,0.80031,0.90385,0.94631,1,0.995,0.56127,1.45459,2.14589,1.10004,0.000366058,0.000366058,0.000366058
79,352.649,1.16975,0.80566,0.91688,0.94631,1,0.995,0.56127,1.45459,2.14589,1.10004,0.000355368,0.000355368,0.000355368
80,356.286,0.99443,0.771,0.93082,0.94631,1,0.995,0.56127,1.45459,2.14589,1.10004,0.000344282,0.000344282,0.000344282
81,359.931,1.00571,0.7725,0.94077,1,0.97658,0.995,0.54282,1.44788,2.00804,1.10723,0.0003328,0.0003328,0.0003328
82,364.089,1.1573,0.77612,0.93455,1,0.97658,0.995,0.54282,1.44788,2.00804,1.10723,0.000320922,0.000320922,0.000320922
83,367.899,1.16812,0.78722,0.94168,1,0.97658,0.995,0.54282,1.44788,2.00804,1.10723,0.000308648,0.000308648,0.000308648
84,371.75,1.08288,0.73662,0.92856,1,0.94276,0.995,0.55214,1.45318,1.87581,1.11558,0.000295978,0.000295978,0.000295978
85,375.793,1.05349,0.74507,0.9265,1,0.94276,0.995,0.55214,1.45318,1.87581,1.11558,0.000282912,0.000282912,0.000282912
86,380.16,1.06412,0.74555,0.94818,1,0.94276,0.995,0.55214,1.45318,1.87581,1.11558,0.00026945,0.00026945,0.00026945
87,384.094,1.05683,0.73805,0.89606,1,0.94276,0.995,0.55214,1.45318,1.87581,1.11558,0.000255592,0.000255592,0.000255592
88,388.338,1.061,0.76531,0.93106,0.98646,1,0.995,0.56736,1.45081,1.75376,1.11266,0.000241338,0.000241338,0.000241338
89,392.864,1.0464,0.74927,0.9207,0.98646,1,0.995,0.56736,1.45081,1.75376,1.11266,0.000226688,0.000226688,0.000226688
90,397.517,1.10749,0.74887,0.89657,0.98646,1,0.995,0.56736,1.45081,1.75376,1.11266,0.000211642,0.000211642,0.000211642
91,401.657,1.06977,0.7789,0.90096,0.98646,1,0.995,0.56736,1.45081,1.75376,1.11266,0.0001962,0.0001962,0.0001962
92,406.069,0.96578,0.71214,0.92644,0.97433,1,0.995,0.56196,1.45291,1.6579,1.10755,0.000180362,0.000180362,0.000180362
93,409.959,0.96375,0.79762,0.91784,0.97433,1,0.995,0.56196,1.45291,1.6579,1.10755,0.000164128,0.000164128,0.000164128
94,414.305,0.99779,0.76332,0.90101,0.97433,1,0.995,0.56196,1.45291,1.6579,1.10755,0.000147498,0.000147498,0.000147498
95,418.199,1.04447,0.72523,0.89926,0.97433,1,0.995,0.56196,1.45291,1.6579,1.10755,0.000130472,0.000130472,0.000130472
96,422.275,0.95357,0.78196,0.91219,0.97149,1,0.995,0.55498,1.44145,1.57606,1.1018,0.00011305,0.00011305,0.00011305
97,425.832,0.94521,0.73927,0.89239,0.97149,1,0.995,0.55498,1.44145,1.57606,1.1018,9.5232e-05,9.5232e-05,9.5232e-05
98,429.885,0.98111,0.80792,0.94559,0.97149,1,0.995,0.55498,1.44145,1.57606,1.1018,7.7018e-05,7.7018e-05,7.7018e-05
99,433.97,1.05916,0.81773,0.92889,0.97149,1,0.995,0.55498,1.44145,1.57606,1.1018,5.8408e-05,5.8408e-05,5.8408e-05
100,437.858,1.02084,0.75299,0.90031,0.97604,1,0.995,0.59091,1.42458,1.4874,1.09893,3.9402e-05,3.9402e-05,3.9402e-05
